Id,SenderId,ReciepientId,RecipientId,ContenT,IsRead,DateRead,MessageSent,SenderDeleted,RecipientDeleted
18,3,6,,This is a test message from Susie to Fisher,0,,2020-09-28 06:13:54.5551782,0,0
19,7,3,,This is a message from Simon to Susie,0,,2020-09-28 12:43:49.0310276,0,0
20,7,3,,This is 2nd message from Simon to Susie,0,,2020-09-28 12:44:12.1840107,0,0
21,7,3,,This is 3rd message from Simon to Susie,0,,2020-09-28 12:44:19.4257668,0,0
22,3,5,,This is 1st message from Susie to bridget,0,,2020-09-30 19:15:08.676797,0,0
23,3,5,,This is 2nd message from Susie to bridget,0,,2020-09-30 19:20:24.9472642,0,0
24,3,5,,This is 3rd message from Susie to bridget,0,,2020-09-30 19:21:58.2587998,0,0
25,5,3,,This is 1st message from bridget to susie,0,,2020-09-30 20:02:27.5043959,0,0
26,5,3,,This is a message from bridget to susie,0,,2020-10-01 08:32:08.0998672,0,0
27,5,3,,This is another message from bridget to susie,0,,2020-10-01 08:40:12.8033762,0,0
28,5,3,,This is Yet another message from bridget to susie,0,,2020-10-01 08:51:02.6801627,0,0
29,5,3,,This is Yet yet another message from bridget to susie,0,,2020-10-01 08:57:22.2232472,0,0
30,5,3,,This is Yet yet yet yet another message from bridget to susie,0,,2020-10-01 09:54:43.0958675,0,0
34,3,0,,This Simon testing,0,,2020-10-01 17:52:24.3043589,0,0
35,3,0,,This Simon testing again,0,,2020-10-01 17:55:23.6955766,0,0
36,3,0,,test 2,0,,2020-10-01 20:13:48.5137534,0,0
37,3,0,,test 3,0,,2020-10-01 20:29:29.5305674,0,0
38,3,0,,test 4,0,,2020-10-01 20:34:09.3871568,0,0
39,3,0,,test 5,0,,2020-10-01 20:36:47.119146,0,0
40,3,0,,test 6,0,,2020-10-01 20:50:19.7323391,0,0
41,3,0,,test 7,0,,2020-10-01 20:54:06.8659612,0,0
42,3,0,,test 33,0,,2020-10-01 20:57:18.2083052,0,0
